Range(m) 532nmResult 355nmResult
2898.7500 1.0000 1.0000
2902.5000 1.0000 1.0000
2906.2500 1.0000 1.0000
2910.0000 1.0000 1.0000
2913.7500 1.0000 1.0000
2917.5000 1.0000 1.0000
2921.2500 1.0000 1.0000
2925.0000 1.0000 1.0000
2928.7500 1.0000 1.0000
2932.5000 1.0000 1.0000
2936.2500 1.0000 1.0000
2940.0000 1.0000 1.0000
2943.7500 1.0000 1.0000
2947.5000 1.0000 1.0000
2951.2500 1.0000 1.0000
2955.0000 1.0000 1.0000
2958.7500 1.0000 1.0000
2962.5000 1.0000 1.0000
2966.2500 1.0000 1.0000
2970.0000 1.0000 1.0000
2973.7500 1.0000 1.0000
2977.5000 1.0000 1.0000
2981.2500 1.0000 1.0000
2985.0000 1.0000 1.0000
2988.7500 1.0000 1.0000
2992.5000 1.0000 1.0000
2996.2500 1.0000 1.0000
3000.0000 1.0000 1.0000
3003.7500 1.0000 1.0000
3007.5000 1.0000 1.0000
3011.2500 1.0000 1.0000
3015.0000 1.0000 1.0000
3018.7500 1.0000 1.0000
3022.5000 1.0000 1.0000
3026.2500 1.0000 1.0000
3030.0000 1.0000 1.0000
3033.7500 1.0000 1.0000
3037.5000 1.0000 1.0000
3041.2500 1.0000 1.0000
3045.0000 1.0000 1.0000
3048.7500 1.0000 1.0000
3052.5000 1.0000 1.0000
3056.2500 1.0000 1.0000
3060.0000 1.0000 1.0000
3063.7500 1.0000 1.0000
3067.5000 1.0000 1.0000
3071.2500 1.0000 1.0000
3075.0000 1.0000 1.0000
3078.7500 1.0000 1.0000
3082.5000 1.0000 1.0000
3086.2500 1.0000 1.0000
3090.0000 1.0000 1.0000
3093.7500 1.0000 1.0000
3097.5000 1.0000 1.0000
3101.2500 1.0000 1.0000
3105.0000 1.0000 1.0000
3108.7500 1.0000 1.0000
3112.5000 1.0000 1.0000
3116.2500 1.0000 1.0000
3120.0000 1.0000 1.0000
3123.7500 1.0000 1.0000
3127.5000 1.0000 1.0000
3131.2500 1.0000 1.0000
3135.0000 1.0000 1.0000
3138.7500 1.0000 1.0000
3142.5000 1.0000 1.0000
3146.2500 1.0000 1.0000
3150.0000 1.0000 1.0000
3153.7500 1.0000 1.0000
3157.5000 1.0000 1.0000
3161.2500 1.0000 1.0000
3165.0000 1.0000 1.0000
3168.7500 1.0000 1.0000
3172.5000 1.0000 1.0000
3176.2500 1.0000 1.0000
3180.0000 1.0000 1.0000
3183.7500 1.0000 1.0000
3187.5000 1.0000 1.0000
3191.2500 1.0000 1.0000
3195.0000 1.0000 1.0000
3198.7500 1.0000 1.0000
3202.5000 1.0000 1.0000
3206.2500 1.0000 1.0000
3210.0000 1.0000 1.0000
3213.7500 1.0000 1.0000
3217.5000 1.0000 1.0000
3221.2500 1.0000 1.0000
3225.0000 1.0000 1.0000
3228.7500 1.0000 1.0000
3232.5000 1.0000 1.0000
3236.2500 1.0000 1.0000
3240.0000 1.0000 1.0000
3243.7500 1.0000 1.0000
3247.5000 1.0000 1.0000
3251.2500 1.0000 1.0000
3255.0000 1.0000 1.0000
3258.7500 1.0000 1.0000
3262.5000 1.0000 1.0000
3266.2500 1.0000 1.0000
3270.0000 1.0000 1.0000
3273.7500 1.0000 1.0000
3277.5000 1.0000 1.0000
3281.2500 1.0000 1.0000
3285.0000 1.0000 1.0000
3288.7500 1.0000 1.0000
3292.5000 1.0000 1.0000
3296.2500 1.0000 1.0000
3300.0000 1.0000 1.0000
3303.7500 1.0000 1.0000
3307.5000 1.0000 1.0000
3311.2500 1.0000 1.0000
3315.0000 1.0000 1.0000
3318.7500 1.0000 1.0000
